,extra_trees,random_forest,lightgbm,score
nvarsaldocapital,0.13497681876675807,0.44892343096335,0.4874059186050083,good_uncertain
cero_cuotas,0.5243846052017045,0.2616821734313761,0.2561048844367857,good_uncertain
D__Casado,0.36527515968765656,0.28877734427168333,0.2875784764696975,good_uncertain
pregunta_3,0.3564351004889148,0.3166135534799265,0.2608239212854154,good_uncertain
pregunta_13,0.3155701274788014,0.26488997072148973,0.3355390733055238,good_uncertain
D__ASESOR COMERCIAL JUNIOR 2,0.4051174723800465,0.24826470364437772,0.2537631405128446,good_uncertain
D__U,0.36659688180526606,0.25695873476478576,0.2754905675086853,good_uncertain
pregunta_27,0.30256886762116875,0.25124328366160364,0.33313808104700354,good_uncertain
nPorcentaje_cero_cuotas_ope,0.2967724794829439,0.2917063966814141,0.29709949783536777,good_uncertain
D__Femenino,0.38731782087982847,0.2661966906470537,0.22958732259082026,uncertain
pregunta_11,0.3461065463125276,0.2044183973000895,0.3186373301605553,uncertain
cluster,0.4102823151948221,0.22407474741506625,0.22233694714759614,uncertain
D__Otros,0.33906046391888367,0.247223017123355,0.26826389139929285,uncertain
ingresoef,0.37789747860742673,0.24427444930068967,0.23196461551550887,uncertain
Amonestacion,0.3241327233418507,0.2722905419500434,0.24890190766122489,uncertain
D__Soltero,0.31249273101403685,0.27612279420727825,0.24651276506962044,uncertain
nAmonestacion_suspension,0.3525219601695837,0.22756956929456212,0.23926238962639632,uncertain
nEntidades_competencia,0.31644982206713135,0.2647619955142694,0.22226584914610117,uncertain
Edad,0.21760806742533484,0.2627615443775812,0.30673901587019636,uncertain
nPorcentaje_sal_cero_cuo,0.23011457419097184,0.3102355045489511,0.24396957680811027,uncertain
pregunta_26,0.26348766454633843,0.19745945952818167,0.32115681908823385,uncertain
pregunta_9,0.2772121182400965,0.25508209788425634,0.24881895999281411,uncertain
pregunta_1,0.2924147517520874,0.22231073772668475,0.2560219367683749,uncertain
pregunta_10,0.22695050684038498,0.2864820655253031,0.25593898909996415,uncertain
pregunta_14,0.22810739395107194,0.3208685367408761,0.21234193910529273,uncertain
pregunta_24,0.28970603179803467,0.2856163256571511,0.18584807659315894,uncertain
nDesem_ult_semana,0.11164907384089784,0.3384665313383493,0.30904521079339,uncertain
pregunta_5,0.19433706657498181,0.2360483443943325,0.3234156153437642,uncertain
pregunta_6,0.22988217037258976,0.33677463710133193,0.18589547526082223,uncertain
pregunta_18,0.19833229522684814,0.2812379839457774,0.2511488542498394,uncertain
pregunta_17,0.20944901877493205,0.28610170113689126,0.21727426995840737,uncertain
pregunta_7,0.2122800465773768,0.16660351541215063,0.30906891012722165,uncertain
pregunta_19,0.26704006473261843,0.15699665987195896,0.2607765226177522,uncertain
pregunta_30,0.23673325933043465,0.2227745837901724,0.2148258790322238,uncertain
pregunta_22,0.18310145596675215,0.19330628752436507,0.28233805427677133,uncertain
pregunta_21,0.1730299441869919,0.16662697627783005,0.29449706123927843,uncertain
pregunta_12,0.18092563821637175,0.2763100810099473,0.17379571663289425,uncertain
pregunta_15,0.2709261727040633,0.20971767632389554,0.14964359804470156,bad_uncertain
pregunta_16,0.2991349652882151,0.20405007351388696,0.11825295368020061,bad_uncertain
nRatio_crec_deuda,0.1262123437163069,0.3228930028900906,0.11824110401328478,bad_uncertain
pregunta_20,0.2119078001642847,0.1839142425056468,0.1568465748202624,bad_uncertain
pregunta_4,0.18353056542314677,0.23178570355677272,0.05792005587738226,bad_uncertain
